year,id,samptype,panelid,panelwave,intage,intsex,intethn,intyrs,lngthinv,coop,comprend,daysint,spaneng,mode,feeused,egp10_11,spegp10_11,paegp10_11,maegp10_11,parborn,family16,reg16,incom16,age,sex,born,relig,class,spdeg,madeg,padeg,wrkstat,degree,uscitzn,realinc,realrinc,region,wordsum,dwelown,size,xnorcsiz,marital,racehisp5,evercitzn
2006,3716,2006,20063716,1,54,2,1,.4,108,1,1,30,1,1,3,4,,10,10,0,1,5,3,43,2,1,1,2,,0,0,2,0,,9.399358,7.847079,5,7,,4,4,4,1,1
2006,1289,2006,20061289,1,51,2,1,2.2,129,1,1,76,1,2,1,1,,10,10,0,1,4,1,55,2,1,2,3,,0,0,1,1,,10.55513,10.55513,4,,1,287,1,5,1,1
2006,186,2006,2006186,1,40,2,1,.3,87,1,1,113,1,2,1,1,1,2,,0,1,5,4,50,1,1,2,3,4,4,4,1,4,,11.88105,11.13049,2,,1,3,3,1,1,1
2006,2847,2006,20062847,1,55,2,1,.4,126,1,1,53,1,1,3,5,5,5,,2,1,0,4,36,2,2,4,2,2,,,2,3,,10.35033,8.76337,5,2,1,12,10,1,3,0
2006,3357,2006,20063357,1,59,2,2,1.1,73,1,1,40,1,1,1,8,,8,4,0,1,4,3,61,1,1,4,3,,0,0,5,1,,9.967342,,4,8,1,80,2,5,1,1
2006,1747,2006,20061747,1,52,2,1,1.8,120,1,1,134,1,2,1,5,,4,5,0,1,5,2,49,2,1,1,3,,1,0,2,3,,9.967342,9.967342,1,,1,12,4,2,1,1
2006,4054,2006,20064054,1,59,2,2,1,122,1,1,98,1,1,1,2,,7,10,0,1,5,3,40,2,1,1,2,,1,1,1,3,,9.399358,8.76337,5,,,4,10,3,1,1
2006,2281,2006,20062281,1,54,2,4,2.2,200,1,1,52,1,1,1,4,2,10,10,0,1,4,3,46,2,1,1,3,3,1,1,2,1,,,,4,7,,27,4,1,1,1
2006,3883,2006,20063883,1,63,1,1,11.1,89,1,1,64,1,1,1,4,9,5,10,0,1,7,3,48,2,1,1,2,1,1,1,6,2,,,,7,,1,5,8,1,1,1
2006,3760,2006,20063760,1,54,1,1,.4,96,1,1,58,1,1,3,10,,,10,0,5,5,2,32,2,1,1,3,,1,,1,1,,9.824242,9.824242,5,4,,7,6,3,1,1
