panelid,panelwave,year,id,wt_pooled,wt_pooled_insc,wt_no_pooling,wt_no_pooling_insc,wt_shrunken,wt_shrunken_insc
20069,1,2006,9,.6305907,.6153408,.6268471,.6125765,.6318466,.6158249
20069,2,2008,3001,.6305907,.6153408,.6268471,.6125765,.6318466,.6158249
20069,3,2010,6001,.6305907,.6153408,.6268471,.6125765,.6318466,.6158249
20082,1,2008,2,.9722355,.8914441,1.974139,2.350488,1.136035,1.08311
20082,2,2010,8002,.9722355,.8914441,1.974139,2.350488,1.136035,1.08311
20082,3,2012,8001,.9722355,.8914441,1.974139,2.350488,1.136035,1.08311
20083,1,2008,3,3.253994,3.152108,3.929925,3.950945,3.426793,3.352854
20083,2,2010,8003,3.253994,3.152108,3.929925,3.950945,3.426793,3.352854
20083,3,2012,8002,3.253994,3.152108,3.929925,3.950945,3.426793,3.352854
20085,1,2008,5,1.071277,.9903988,.91309,.8850292,1.02994,.9651003
20085,2,2010,8005,1.071277,.9903988,.91309,.8850292,1.02994,.9651003
20085,3,2012,8003,1.071277,.9903988,.91309,.8850292,1.02994,.9651003
20087,1,2008,7,4.230757,3.804335,3.81339,3.622999,4.133287,3.769662
20087,2,2010,8007,4.230757,3.804335,3.81339,3.622999,4.133287,3.769662
20087,3,2012,8004,4.230757,3.804335,3.81339,3.622999,4.133287,3.769662
20089,1,2008,9,.6469342,.6144383,.7382883,.7901788,.6704434,.6539557
20089,2,2010,8008,.6469342,.6144383,.7382883,.7901788,.6704434,.6539557
20089,3,2012,8005,.6469342,.6144383,.7382883,.7901788,.6704434,.6539557
20101,1,2010,1,1.944365,1.805249,1.764902,1.462206,1.90012,1.703783
20101,2,2012,10001,1.944365,1.805249,1.764902,1.462206,1.90012,1.703783
20101,3,2014,10001,1.944365,1.805249,1.764902,1.462206,1.90012,1.703783
20102,1,2010,2,.6252661,.6093474,.6845847,.6612626,.6425559,.6245168
20102,2,2012,10002,.6252661,.6093474,.6845847,.6612626,.6425559,.6245168
20102,3,2014,10002,.6252661,.6093474,.6845847,.6612626,.6425559,.6245168
20103,1,2010,3,.8774032,.7424667,1.169091,.8658608,.9438559,.7749723
20103,2,2012,10003,.8774032,.7424667,1.169091,.8658608,.9438559,.7749723
20103,3,2014,10003,.8774032,.7424667,1.169091,.8658608,.9438559,.7749723
20106,1,2010,6,1.343685,1.177234,1.540894,1.214397,1.391774,1.189981
20106,2,2012,10005,1.343685,1.177234,1.540894,1.214397,1.391774,1.189981
20106,3,2014,10004,1.343685,1.177234,1.540894,1.214397,1.391774,1.189981
20107,1,2010,7,1.052042,.9601684,1.119775,.9781,1.071304,.9675313
20107,2,2012,10006,1.052042,.9601684,1.119775,.9781,1.071304,.9675313
20107,3,2014,10005,1.052042,.9601684,1.119775,.9781,1.071304,.9675313
20109,1,2010,9,5.543171,5.395935,5.699894,5.1473,5.605851,5.345861
20109,2,2012,10008,5.543171,5.395935,5.699894,5.1473,5.605851,5.345861
20109,3,2014,10006,5.543171,5.395935,5.699894,5.1473,5.605851,5.345861
200610,1,2006,10,1.188075,1.186699,1.214175,1.25336,1.19907,1.205374
200610,2,2008,3002,1.188075,1.186699,1.214175,1.25336,1.19907,1.205374
200610,3,2010,6002,1.188075,1.186699,1.214175,1.25336,1.19907,1.205374
