year,id,wt_pooled,wt_pooled_insc,wt_no_pooling,wt_no_pooling_insc,wt_shrunken,wt_shrunken_insc
2006,9,.6305907,.6153408,.6268471,.6125765,.6318466,.6158249
2006,10,1.188075,1.186699,1.214175,1.25336,1.19907,1.205374
2006,11,4.447382,3.204533,5.767359,3.520034,4.725658,3.286487
2006,12,3.635581,3.345038,3.176197,2.922395,3.542508,3.258684
2006,13,.71769,.6591203,.6805375,.6466585,.7108352,.6574524
2006,14,.8596441,.7748395,.7132388,.6795321,.8282433,.7561129
2006,15,3.678031,3.641501,3.107277,3.086581,3.538563,3.506801
2006,18,3.508835,3.398716,3.292743,3.428893,3.465538,3.414291
2006,19,.7186366,.677154,.6324929,.609928,.7007224,.663719
2006,34,.9232101,.841301,.7831668,.7134528,.8800561,.8026174
2006,38,3.149372,2.878654,3.770802,3.255992,3.304246,2.974519
2006,51,.7742723,.7340465,.8578399,.8101259,.7962487,.7534488
2006,52,1.660484,1.4555,2.144658,1.807792,1.769979,1.537063
2006,54,.6259793,.6032077,.6037403,.5982221,.6235206,.6039635
2006,55,2.856807,2.863174,2.863067,2.800491,2.870495,2.856678
2006,56,.8163994,.7172424,.606519,.5601499,.7553932,.6746234
2006,57,2.648407,2.449711,1.972048,1.86786,2.45848,2.290663
2006,58,1.235574,1.184401,1.208436,1.160928,1.233903,1.182142
2006,59,1.454341,1.392337,1.530686,1.457851,1.478192,1.411374
2006,61,2.862706,2.616272,2.920274,2.522029,2.887631,2.595682
2006,62,1.363566,1.230643,1.062272,.9405326,1.280087,1.149812
2006,65,4.911184,4.693524,2.822587,2.59268,4.126508,3.890778
2006,74,2.203598,1.965378,1.426664,1.353033,1.940051,1.774797
2006,81,3.595116,3.386652,2.949777,2.876575,3.429319,3.267628
2006,83,2.053358,1.995959,2.368803,2.291675,2.13496,2.069576
2006,89,.8419115,.7795966,.8790194,.7863293,.8538029,.7833621
2006,90,6.975052,6.754239,8.24296,7.777724,7.246822,6.980795
2006,105,1.257493,1.186103,1.223988,1.189116,1.253989,1.189749
2006,106,1.129356,1.092613,1.126138,1.111491,1.134042,1.100413
2006,107,.8397359,.7418045,.6858464,.6546592,.8059993,.7242253
2006,108,.7677051,.7140204,.6704813,.6504337,.7495166,.7033625
2006,110,1.129624,1.090184,1.090734,1.08133,1.125737,1.091653
2006,111,1.462445,1.447539,1.231056,1.210982,1.415344,1.399627
2006,112,.7477684,.6971536,.7802096,.7423877,.7583845,.7092003
2006,114,2.344281,2.173698,2.11881,2.028166,2.290626,2.140954
2006,115,2.709874,2.612568,2.199229,2.286649,2.561039,2.52275
2006,118,.7917861,.753562,.8884008,.8440944,.8162785,.7752425
2006,129,1.502394,1.414562,1.267337,1.236527,1.439814,1.370787
2006,131,3.315395,3.017542,3.391683,2.891154,3.347021,2.993446
2006,141,2.654801,2.585755,2.564736,2.539507,2.642375,2.580647
2006,142,2.247981,2.210281,2.102756,2.069302,2.224776,2.185943
2006,143,1.583444,1.473181,1.256756,1.231959,1.50146,1.418971
2006,145,1.082528,.7733338,1.248009,.7850727,1.123646,.7780667
2006,154,3.229916,3.1919,2.806557,2.76347,3.149022,3.109676
2006,155,1.73774,1.684941,1.808301,1.739441,1.761292,1.702277
2006,164,1.224677,1.174621,1.30706,1.197604,1.24989,1.182983
2006,167,1.549684,1.50765,1.426298,1.351325,1.525254,1.472857
2006,176,1.170512,1.141934,1.158383,1.116816,1.172867,1.139788
2006,177,1.918592,1.875058,1.986462,1.916595,1.942089,1.890193
2006,182,3.070194,2.239541,3.202674,2.028922,3.112328,2.19592
2006,183,2.814547,2.821099,2.653822,2.560927,2.789966,2.769378
2006,186,2.580473,2.57335,2.352056,2.319553,2.539314,2.523235
2006,193,3.591049,3.582055,3.605831,3.556727,3.609553,3.586656
2006,198,2.414225,2.394616,2.24668,2.251969,2.383967,2.367948
2006,199,1.461815,1.40726,1.215567,1.20014,1.403782,1.360582
2006,203,.7408549,.6949247,.7532387,.6916002,.7469777,.6965861
2006,204,2.476392,2.361989,2.18797,2.145285,2.414647,2.317025
2006,205,.7549762,.6263242,.7483716,.6044094,.7567677,.6230326
2006,223,3.852346,3.591115,4.783807,4.200407,4.081947,3.748025
2006,228,10.81409,9.905768,13.53567,11.84643,11.44138,10.36809
2006,231,1.631914,1.667228,1.71158,1.645793,1.656969,1.666854
2006,233,2.202872,2.13793,2.26285,2.137457,2.225993,2.14486
2006,235,.8682326,.8626051,1.10067,1.082683,.917994,.9092187
2006,238,1.431723,1.476787,1.564123,1.646801,1.466768,1.516993
2006,252,.733885,.7087098,.7880676,.7900568,.7492115,.7287527
2006,254,4.178215,4.093261,5.007709,4.494516,4.365843,4.194166
2006,255,1.657598,1.638784,1.723812,1.687363,1.679603,1.654641
2006,257,3.331807,3.489107,3.640711,3.94072,3.415578,3.596603
2006,258,2.175489,2.218734,2.366007,2.424197,2.226134,2.268632
2006,267,1.827566,1.680795,1.738637,1.594898,1.813606,1.665112
