		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)
		p2010_insc_mi	p2010_insc_1	AME_p2010_insc_1	p2010_insc_2	AME_p2010_insc_2	p2010_insc_3	AME_p2010_insc_3	p2010_insc_4	AME_p2010_insc_4	p2010_insc_5	AME_p2010_insc_5	p2010_insc_6	AME_p2010_insc_6
VARIABLES	LABELS	Panel Attrition Indicator	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1
														
age_o1	Age: first polynomial	0.128	0.127	0.025	0.129	0.025	0.126	0.025	0.130	0.026	0.131	0.026	0.127	0.025
		(0.081)	(0.081)	(0.016)	(0.080)	(0.016)	(0.080)	(0.016)	(0.081)	(0.016)	(0.080)	(0.016)	(0.080)	(0.016)
age_o2	Age: second polynomial	0.203	0.203	0.040	0.203	0.040	0.202	0.040	0.202	0.040	0.203	0.040	0.202	0.040
		(0.071)	(0.071)	(0.014)	(0.071)	(0.014)	(0.071)	(0.014)	(0.071)	(0.014)	(0.071)	(0.014)	(0.071)	(0.014)
age_o3	Age: thir polynomial	0.054	0.055	0.011	0.054	0.011	0.055	0.011	0.053	0.011	0.053	0.011	0.054	0.011
		(0.061)	(0.061)	(0.012)	(0.061)	(0.012)	(0.061)	(0.012)	(0.061)	(0.012)	(0.061)	(0.012)	(0.061)	(0.012)
2.sex	Sex = 2, Female	0.145	0.144	0.028	0.144	0.028	0.144	0.028	0.146	0.029	0.145	0.028	0.145	0.029
		(0.123)	(0.123)	(0.024)	(0.123)	(0.024)	(0.123)	(0.024)	(0.123)	(0.024)	(0.123)	(0.024)	(0.123)	(0.024)
2.racehisp5	Race/ethnicity = 2, Black	-0.711	-0.704	-0.128	-0.705	-0.128	-0.711	-0.129	-0.719	-0.131	-0.710	-0.129	-0.713	-0.130
		(0.191)	(0.191)	(0.031)	(0.191)	(0.031)	(0.191)	(0.031)	(0.192)	(0.031)	(0.191)	(0.031)	(0.191)	(0.031)
3.racehisp5	Race/ethnicity = 3, Hispanic	-0.409	-0.411	-0.079	-0.408	-0.078	-0.408	-0.078	-0.410	-0.079	-0.404	-0.078	-0.411	-0.079
		(0.249)	(0.250)	(0.045)	(0.249)	(0.045)	(0.249)	(0.045)	(0.250)	(0.045)	(0.249)	(0.045)	(0.249)	(0.045)
4.racehisp5	Race/ethnicity = 4, Asian	-0.268	-0.267	-0.052	-0.265	-0.052	-0.269	-0.053	-0.276	-0.054	-0.267	-0.053	-0.267	-0.053
		(0.331)	(0.330)	(0.062)	(0.331)	(0.063)	(0.330)	(0.062)	(0.331)	(0.062)	(0.332)	(0.063)	(0.331)	(0.063)
5.racehisp5	Race/ethnicity = 5, Other	0.263	0.270	0.057	0.261	0.055	0.262	0.055	0.262	0.055	0.259	0.055	0.262	0.055
