		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)
		pooled_all_mi	pooled_all_1	AME_pooled_all_1	pooled_all_2	AME_pooled_all_2	pooled_all_3	AME_pooled_all_3	pooled_all_4	AME_pooled_all_4	pooled_all_5	AME_pooled_all_5	pooled_all_6	AME_pooled_all_6
VARIABLES	LABELS	Panel Attrition Indicator	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1	Panel Attrition Indicator	y1
														
age_o1	Age: first polynomial	0.137	0.137	0.029	0.137	0.029	0.136	0.029	0.137	0.029	0.138	0.029	0.136	0.029
		(0.041)	(0.041)	(0.009)	(0.041)	(0.009)	(0.041)	(0.009)	(0.042)	(0.009)	(0.041)	(0.009)	(0.041)	(0.009)
age_o2	Age: second polynomial	0.195	0.195	0.042	0.195	0.041	0.195	0.041	0.195	0.041	0.196	0.042	0.195	0.041
		(0.036)	(0.036)	(0.008)	(0.036)	(0.008)	(0.036)	(0.008)	(0.036)	(0.008)	(0.036)	(0.008)	(0.036)	(0.008)
age_o3	Age: thir polynomial	0.118	0.118	0.025	0.118	0.025	0.118	0.025	0.118	0.025	0.117	0.025	0.118	0.025
		(0.033)	(0.033)	(0.007)	(0.033)	(0.007)	(0.033)	(0.007)	(0.033)	(0.007)	(0.033)	(0.007)	(0.033)	(0.007)
2.sex	Sex = 2, Female	-0.129	-0.129	-0.027	-0.128	-0.027	-0.130	-0.028	-0.129	-0.027	-0.129	-0.027	-0.129	-0.028
		(0.067)	(0.067)	(0.014)	(0.067)	(0.014)	(0.067)	(0.014)	(0.067)	(0.014)	(0.067)	(0.014)	(0.067)	(0.014)
2.racehisp5	Race/ethnicity = 2, Black	-0.170	-0.170	-0.035	-0.171	-0.036	-0.171	-0.036	-0.171	-0.036	-0.171	-0.036	-0.170	-0.036
		(0.107)	(0.107)	(0.022)	(0.107)	(0.022)	(0.108)	(0.022)	(0.107)	(0.022)	(0.107)	(0.022)	(0.107)	(0.022)
3.racehisp5	Race/ethnicity = 3, Hispanic	-0.068	-0.068	-0.015	-0.068	-0.014	-0.067	-0.014	-0.071	-0.015	-0.069	-0.015	-0.067	-0.014
		(0.146)	(0.146)	(0.031)	(0.146)	(0.031)	(0.146)	(0.031)	(0.146)	(0.031)	(0.146)	(0.031)	(0.146)	(0.031)
4.racehisp5	Race/ethnicity = 4, Asian	-0.094	-0.093	-0.020	-0.093	-0.020	-0.094	-0.020	-0.095	-0.020	-0.090	-0.019	-0.096	-0.020
		(0.199)	(0.199)	(0.042)	(0.199)	(0.042)	(0.199)	(0.042)	(0.199)	(0.042)	(0.199)	(0.042)	(0.199)	(0.042)
5.racehisp5	Race/ethnicity = 5, Other	0.471	0.475	0.107	0.472	0.106	0.471	0.106	0.471	0.106	0.468	0.105	0.470	0.106
		(0.295)	(0.294)	(0.068)	(0.294)	(0.068)	(0.295)	(0.068)	(0.295)	(0.068)	(0.295)	(0.068)	(0.295)	(0.068)
0.degree	Education = 0, Less than HS	0.219	0.220	0.048	0.220	0.048	0.217	0.047	0.220	0.048	0.220	0.048	0.220	0.048
		(0.105)	(0.105)	(0.023)	(0.105)	(0.023)	(0.105)	(0.023)	(0.105)	(0.023)	(0.105)	(0.023)	(0.105)	(0.023)
2.degree	Education = 2, Junior college	0.034	0.035	0.007	0.035	0.007	0.034	0.007	0.035	0.007	0.033	0.007	0.034	0.007
		(0.124)	(0.124)	(0.027)	(0.124)	(0.027)	(0.124)	(0.027)	(0.124)	(0.027)	(0.124)	(0.027)	(0.124)	(0.027)
3.degree	Education = 3, BA	0.026	0.026	0.006	0.028	0.006	0.026	0.006	0.025	0.005	0.024	0.005	0.027	0.006
		(0.099)	(0.099)	(0.021)	(0.099)	(0.021)	(0.099)	(0.021)	(0.099)	(0.021)	(0.099)	(0.021)	(0.099)	(0.021)
4.degree	Education = 4, Graduate	-0.088	-0.087	-0.018	-0.087	-0.018	-0.087	-0.018	-0.090	-0.019	-0.092	-0.019	-0.087	-0.018
		(0.133)	(0.133)	(0.028)	(0.133)	(0.028)	(0.133)	(0.028)	(0.133)	(0.028)	(0.133)	(0.028)	(0.133)	(0.028)
realinc	Real household income	0.078	0.080	0.017	0.079	0.017	0.076	0.016	0.077	0.016	0.082	0.017	0.077	0.016
		(0.043)	(0.043)	(0.009)	(0.043)	(0.009)	(0.043)	(0.009)	(0.043)	(0.009)	(0.043)	(0.009)	(0.043)	(0.009)
2.dwelown	R owns or rents home = 2, Pays rent	0.155	0.152	0.033	0.163	0.035	0.146	0.031	0.153	0.033	0.174	0.037	0.144	0.031
		(0.091)	(0.091)	(0.020)	(0.091)	(0.020)	(0.091)	(0.020)	(0.090)	(0.020)	(0.090)	(0.020)	(0.091)	(0.020)
3.dwelown	R owns or rents home = 3, Other	0.590	0.589	0.132	0.594	0.133	0.587	0.132	0.589	0.132	0.596	0.134	0.584	0.131
		(0.312)	(0.313)	(0.073)	(0.313)	(0.073)	(0.313)	(0.073)	(0.312)	(0.073)	(0.312)	(0.073)	(0.312)	(0.073)
2.marital	Marital status = 2, Widowed	0.331	0.333	0.073	0.329	0.072	0.331	0.072	0.329	0.072	0.330	0.072	0.331	0.072
		(0.143)	(0.143)	(0.032)	(0.143)	(0.032)	(0.143)	(0.032)	(0.143)	(0.032)	(0.143)	(0.032)	(0.143)	(0.032)
3.marital	Marital status = 3, Divorced	0.009	0.012	0.002	0.006	0.001	0.009	0.002	0.008	0.002	0.007	0.001	0.010	0.002
		(0.101)	(0.101)	(0.021)	(0.101)	(0.021)	(0.101)	(0.021)	(0.101)	(0.021)	(0.101)	(0.021)	(0.101)	(0.021)
4.marital	Marital status = 4, Separated	0.219	0.221	0.048	0.216	0.047	0.218	0.047	0.220	0.048	0.219	0.047	0.221	0.048
		(0.205)	(0.205)	(0.045)	(0.205)	(0.045)	(0.205)	(0.045)	(0.205)	(0.045)	(0.204)	(0.045)	(0.205)	(0.045)
5.marital	Marital status = 5, Never married	0.172	0.174	0.037	0.169	0.036	0.173	0.037	0.172	0.037	0.168	0.036	0.173	0.037
